Taxon,habitat
Aira caryophyllea,dry grassland
Arabidopsis thaliana,dry grassland
Bromus hordeaceus,dry grassland
Cerastium pumilum,dry grassland
Chondrilla juncea,dry grassland
Cruciata pedemontana,dry grassland
Hypochaeris radicata,dry grassland
Anacamptis morio,dry grassland
Pulsatilla pratensis,dry grassland
Saxifraga bulbifera,dry grassland
Verbascum chaixii subsp. austriacum,dry grassland
Vicia hirsuta,dry grassland
Vicia lathyroides,dry grassland
Viola kitaibeliana,dry grassland
Agrostis capillaris,dry grassland
Anthoxanthum odoratum,dry grassland
Dianthus pontederae,dry grassland
Scleranthus annuus,dry grassland
Vicia tetrasperma,dry grassland
Carex praecox,dry grassland
Petrorhagia prolifera,dry grassland
Poa pratensis agg.,dry grassland
Potentilla recta,dry grassland
Bidens tripartita,ruderal
Leersia oryzoides,ruderal
Persicaria hydropiper,ruderal
Persicaria lapathifolia subsp. pallida,ruderal
Ranunculus sceleratus,ruderal
Rumex aquaticus,ruderal
Rumex hydrolapathum,ruderal
Rumex palustris,ruderal
Rumex sanguineus,ruderal
Veronica anagalloides,ruderal
Epilobium roseum,ruderal
Myosotis palustris,ruderal
Rorippa palustris,ruderal
Rumex conglomeratus,ruderal
Veronica anagallis-aquatica,ruderal
Agrostis gigantea,ruderal
Alisma plantago-aquatica,ruderal
Cerastium holosteoides,ruderal
Equisetum arvense,ruderal
Glyceria maxima,ruderal
Juncus bufonius,ruderal
Juncus inflexus,ruderal
Mentha longifolia,ruderal
Plantago lanceolata,ruderal
Ranunculus repens,ruderal
Scirpus sylvaticus,ruderal
Stellaria alsine,ruderal
Veronica beccabunga,ruderal
Vicia cracca,ruderal
Persicaria minor,ruderal
Bidens cernua,ruderal
Galeopsis pubescens,ruderal
Glyceria fluitans,ruderal
Trifolium hybridum,ruderal
Trifolium repens,ruderal
Symphyotrichum novi-belgii,ruderal
Carex acuta,ruderal
Phragmites australis,ruderal
Rumex maritimus,ruderal
Oenanthe aquatica,ruderal
Alopecurus aequalis,ruderal
Cnidium dubium,ruderal
Catabrosa aquatica,ruderal
Bidens radiata,ruderal
Alopecurus geniculatus,ruderal
Epilobium adenocaulon,ruderal
Juncus conglomeratus,ruderal
Juncus effusus,ruderal
Myosotis caespitosa,ruderal
Potentilla norvegica,ruderal
Chenopodium rubrum,ruderal
Chenopodium album,ruderal
Chenopodium strictum,ruderal
Solanum nigrum,ruderal
Persicaria lapathifolia subsp. brittingeri,ruderal
Myricaria germanica,ruderal
Peplis portula,ruderal
Xanthium albinum,ruderal
Rumex stenophyllus,ruderal
Aster trifolium,ruderal
Crypsis aculeata,ruderal
Juncus ranarius,ruderal
Veronica peregrina,ruderal
Poa bulbosa,ruderal
Acinos arvensis,ruderal
Arenaria serpyllifolia,ruderal
Lotus corniculatus,ruderal
Agrostis capillaris,ruderal
Veronica serpyllifolia,ruderal
Amaranthus blitum,ruderal
Bromus arvensis,ruderal
Bromus secalinus,ruderal
Euphorbia peplus,ruderal
Galeopsis bifida,ruderal
Galeopsis tetrahit,ruderal
Veronica hederifolia,ruderal
Lolium temulentum,ruderal
Ranunculus arvensis,ruderal
Mentha arvensis,ruderal
Stellaria graminea,ruderal
Agrostemma githago,ruderal
Trifolium campestre,ruderal
Viola tricolor,ruderal
Kickxia spuria,ruderal
Vicia sativa,ruderal
Rhinanthus alectorolophus,ruderal
Lathyrus pratensis,ruderal
Valerianella locusta,ruderal
Vicia pannonica,ruderal
Euphorbia platyphyllos,ruderal
Geranium dissectum,ruderal
Kickxia elatine,ruderal
Misopates orontium,ruderal
Filago arvensis,ruderal
Lepidium campestre,ruderal
Galeopsis ladanum,ruderal
Agrostis stolonifera,ruderal
Knautia arvensis,ruderal
Valerianella rimosa,ruderal
Rumex crispus,ruderal
Gagea pratensis,ruderal
